,name,tweet,retweets,location,created,followers,is_user_verified
67,KNdasat,@KBonimtetezi @WilliamsRuto gave @RailaOdinga  @TheODMparty time to do their #BBINonsense. LZet them chill for #WSR  N 48.999 Million kenyans to review N revert the #nonsense - they shldn't expect a rosy walk. It will be full of thorns until we clear the bushes #RejectBBI #BBIReport #wanjiku,0,Kenya,10-Nov-2020,82,False
68,KNdasat,"@RailaOdinga @WilliamsRuto gave you time to do your #BBINonsense. Now, chill for him and 48.999 Million kenyans to review and revert your @TheODMparty  #nonsense - dont expect a rosy walk  my fren. It will be full of thorns until we clear the bushes #RejectBBI #BBIReport #wanjiku",0,Kenya,10-Nov-2020,82,False
69,KNdasat,"@edwinsifuna @WilliamsRuto gave you time to do your #BBINonsense. Now, chill for him and 48.999 Million kenyans to review and revert your @TheODMparty @RailaOdinga  #nonsense - dont expect a rosy walk  my fren. It will be full of thorns until we clear the bushes #RejectBBI #BBIReport #wanjiku",0,Kenya,10-Nov-2020,82,False
70,PartridgeMJ,@citizentvkenya No amendments to BBI? So it's Unyesment and Raila ideas cast on stone! I cannot participate in rubber stamping such nonsense! Now our suspicions have been confirmed and I am ready for the BBI thingy and my NO vote! Money is evil if Mwangi can be this confused!#RejectBBI ☠Thanks,0,"Nairobi,Kenya",10-Nov-2020,628,False
71,Yvonne79566268,"@citizentvkenya They need a pension plan.Kenyan government needs to take care of it retired employees.
#RejectBBI",0,,10-Nov-2020,11,False
72,KNdasat,@RailaOdinga You force the document on Kenyans. And we will throw up on you 🤮🤮🤮🤮🤮🤮 #RejectBBI #BBINonsense #BBIReport #RailaMustFall,0,Kenya,10-Nov-2020,82,False
73,KNdasat,@RailaOdinga #raila is busy chocking Kenyans with #BBIReport. We will soon throw up on his face 🤮🤮🤮. #BBINonsense #RejectBBI @StateHouseKenya #UhuruKenyatta - listen to the cries of the poor and middle  class. Too much unnecessary tension on this power GREED document. #RailaMustFall,0,Kenya,10-Nov-2020,82,False
74,Yvonne79566268,"@AldrinOuma @Clinton76379706 @DanniellaPeach @francease @RailaOdinga It’s her. Am a woman. 
Just FYI; the word Youth is not defined in the Kenyan constitution. You can check article 260.
So , “Youth” is basically everyone in Kenya.
  Am #RejectBBI  because it’s lying to the people btwn 18-35 yrs of age.",0,,10-Nov-2020,11,False
75,muiruriken19,"@cbs_ke This #BBINonsense  is only good 10%, while the rest,90% is pure scam,only benefitting politicians and their proxies!My opinion is; let's not embrace the document for such a small percentage benefit.We MUST NOT support a plan to benefit politicians at our own expense!#RejectBBI",2,Nairobi_Kenya,10-Nov-2020,56,False
76,WairimuW,"@EmmanuelTalam This is not constitution making. Far from it. It is deliberate subversion of  #CoK2010. It is selfish, unjust &amp; oppressive. We should all rise up against #BBINONESENSE 
#RejectBBI",0,"Nairobi, Kenya",10-Nov-2020,812,False
77,KalosSays,@RailaOdinga's BBI conveniently left out the Ndung'u Land Report. And he still wants us to believe the report is for Kenyans. We must #RejectBBI. Uhuru Kenyatta,0,"Nairobi, Kenya",10-Nov-2020,1557,False
78,LawiCherop,"@WaihigaMwaura  Is BBI a Government project or Political?
If it's Political,why are tax payers funding it?
If it's a Government project,why is the opposition leader controlling it?
@citizentvkenya
@KIMANIICHUNGWAH
@DonaldBKipkorir
#RejectBBI!
#tuesdayvibe",0,"Kiambu, Kenya",10-Nov-2020,1076,False
79,solo_ambuku,"@ekisiangani #BBINonsense pimps will be paid in equal measure, they should ask @realDonaldTrump on loading over hubris on the citizenry, they never disappoint.  #RejectBBI , #BBIFraud in #Naivasha . 😷🤕 https://t.co/Z1k2x4PiaV",0,"Mombasa, Kenya.",10-Nov-2020,36467,False
80,AntonioBirdman,@citizentvkenya Check on what @MigunaMiguna  tweeted earlier #RejectBBI,0,"Athi River, Kenya",10-Nov-2020,21,False
81,Yvonne79566268,"So am going through comments of supporters of the  #BBIReport.

It safe to say majority of the supporters have not read the poorly written report.

Supporters #BBIReport you need to read the report . 

#RejectBBI",0,,10-Nov-2020,11,False
82,MissyCaroline3,Welcome to kenya where printers &amp; scanners mix up signatures😂😂🤦🏾 #RejectBBI #BBIReport,0,"Nairobi, Kenya",10-Nov-2020,133,False
83,djmof254,"Lets link @kutv_kenya this thursday for some #throwback vibez.
We focus on the #BBIReport 
#RejectBBI #UhuruNaKazi #UhuruFixingNairobi Ruto. https://t.co/1GlySYtuEU",0,"Nairobi, Kenya",10-Nov-2020,342,False
84,KNdasat,@citizentvkenya Fact is this is a one man doc. @RailaOdinga  - #paulmwangi is just doing his work to shed the truth. @TheODMparty #raila we reject your dictatorship #RejectBBI #BBINonsense #BBIReport,0,Kenya,10-Nov-2020,82,False
85,KimathiFelixL,Below are Uganda and US presidents since 1986. I'm not telling anyone to #RejectBBI but expect someone to rule Kenya for more than 34  years. https://t.co/hR95iNbZz1,0,Kenya ,10-Nov-2020,960,False
86,ItsKaranja,Fuck BBI!!! #RejectBBI https://t.co/zBE2gTrVuN,0,Kenya.,10-Nov-2020,1917,False
87,Yvonne79566268,"@AldrinOuma Stop projecting your inability to make independent decisions on me.

I made the decision to #RejectBBI report after reading the report myself.

I don’t need anyone /any lawyer to think and make a decision for me. 

Use your brain to make decisions for yourself. You can do it.",0,,10-Nov-2020,11,False
88,pitsolu,"Activist Omtatah sues to stop changes at IEBC 💯

--(@)BD_Africa #RejectBBI",0,"Kajiado, Kenya",10-Nov-2020,365,False
89,NjorogeMwalimu,"Seems like someone is out of ideas on how to make Kenya better and imagines no one can have a better vision for the country!

#RejectBBI https://t.co/81OtDD1PlU",0,"Nairobi, Kenya",10-Nov-2020,315,False
90,Kip_broo,@evans_lisimba @Sammie_Nganga That cryptic document should be rejected by any sober and democracy loving citizen #RejectBBI,0,ι αм נυѕт αяσυи∂ нєяє ,10-Nov-2020,6236,False
91,ArapKilele,Funny how Tonga thinks that this report is an ODM MANIFESTO that no one should touch/amend or talk about it.Why the entitlement?.... Its now clear that this is not a Kenyans document but Baba's #RejectBBI #BBINonsense https://t.co/J2K51SRaEC,0,Uasin Gishu,10-Nov-2020,2616,False
92,Yvonne79566268,"Supporters of #BBIReport you cannot tell people to answer “NO” to a question that has not been asked.

Tafadhali tuachee huu ushambaa.

#RejectBBI https://t.co/4bg632N7EW",0,,10-Nov-2020,11,False
93,ras_odempoh,"God's Grace for the Salvation of the Human Race l https://t.co/TLw2ZYm7Ba 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
94,ras_odempoh,"Heirs of God   https://t.co/q8sseKVdgw 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
95,ras_odempoh,"JOB OPENINGS (From November 2020-December 2021) https://t.co/RqPCge50F0 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh //",0,"Nairobi, Kenya",10-Nov-2020,1944,False
96,ras_odempoh,"Kissing bug that brings kiss of death    https://t.co/0WCDX1EYRh 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh .",0,"Nairobi, Kenya",10-Nov-2020,1944,False
97,ras_odempoh,"Kissing bug that brings kiss of death    https://t.co/0WCDX1EYRh 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
98,ras_odempoh,"A power bank Exploding?-a power bank that exploded inside a car glove compartment https://t.co/KzonbCxNXH 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
99,ras_odempoh,"It is not too late to achieve your 2020 https://t.co/4FO4xdX8kD are 5 apps that could make you realize your resolutions  https://t.co/TNn1wh6zFK 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
100,ras_odempoh,"The fifth leading cause of death in the world  https://t.co/axvVMiozNT #covid_19 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
101,ras_odempoh,"Branding : What's in a name #TuesdayMotivation https://t.co/UswfCBPsj8 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
102,ras_odempoh,"Creation waits with an anticipation   https://t.co/vli5ZbyzZY 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh /",0,"Nairobi, Kenya",10-Nov-2020,1944,False
103,ras_odempoh,"Creation waits with an anticipation   https://t.co/vli5ZbyzZY 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
104,ras_odempoh,"Creation waits with an anticipation   https://t.co/vli5ZbyzZY 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh .",0,"Nairobi, Kenya",10-Nov-2020,1944,False
105,Ben_Kirui,@BenjiNdolo @ledamalekina @RailaOdinga This thing is just about the top cream of the society...not Sisi wa kutafuta Leo hatujui ya kesho. #Rejectbbi,0,Nairobi Kenya,10-Nov-2020,662,False
106,ras_odempoh,"Voodoo zombification  https://t.co/puVimfaDUY 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
107,Gitaujm1,#RejectBBI who does raila think he is? He is not kenya and kenya is not him. No amendments no passing of this nonsense. Who is he to rule? Does Uhuru even have a say?,0,,10-Nov-2020,3,False
108,So_shedy,"The BBI Snake main Venom, is the proposal that IEBC Commissioners be Appointed by Political Parties. That was one of the major reasons that led to the 2007 PEV.
IEBC should be apolitical. 

#RejectBBI
#BBITrash
#BBINonsense 
#BBIsnake",0,"Nairobi, Kenya",10-Nov-2020,9010,False
109,open_sea254,"So the ex prime minister says the bbi is not open to amendments and yet the whole ethos of the document is to build bridges. Recipe for failure and rejection in a referendum.
 #RejectBBI",0,,10-Nov-2020,833,False
110,ras_odempoh,"JOB OPENINGS (Industrial attachment from Jan to March 2021) https://t.co/RqPCge50F0 
#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh",0,"Nairobi, Kenya",10-Nov-2020,1944,False
111,nash_narrates,"I'm creating a video on interesting Taboos in the Agikuyu culture. Do you know any that you think I should include. 

#Hot96Drive #RejectBBI Pombe Bado #UhuruFixingNairobi #HealthSinsOfNMS #NairobiCommuterRail #NairobiCommuterService https://t.co/DwG3NiWFiv",1,"Nairobi, Kenya",10-Nov-2020,2521,False
112,ArapKilele,Is it forced on our throats? #RejectBBI https://t.co/aGmKDqY7DR,0,Uasin Gishu,10-Nov-2020,2616,False
113,RTherapy254,"Rubber door stoppers at Kshs. 300/ a pair.
#Hot96Drive #Paperpay #NairobiCommuterRail #NairobiCommuterService #HealthSinsOfNMS #RejectBBI https://t.co/8mJOhW05zg",0,,10-Nov-2020,4,False
114,MikeONewton1,"⭐Nike Airforce 1
⭐Size 37_45
⭐Price 2700/=, 2pairs at 5k

📞0710757065
📩https://t.co/vEh6VT5GP9

#HealthSinsOfNMS #RejectBBI #SPARCchat #OneFavourKE #UhuruFixingNairobi #Paperpay Eastleigh https://t.co/FC3ATaF9M9",4,"Nairobi,  Kenya",10-Nov-2020,2975,False
115,Yvonne79566268,"@CogChairman Restructuring of the executive must be rejected.
#uhurumustgo 
Otherwise,
#RejectBBI",0,,10-Nov-2020,11,False
116,josiah_gatuni,"And breaking every conceivable law, raping the constitution and undermining our rights and freedom. #RejectBBI . These dictatorships are the worst in history. Atleast the older one existed when there were less zombies. Not much can be said today. https://t.co/arF1GofVdi",0,,10-Nov-2020,353,False
